,district,month,year,domestic_visitors,foreign_visitors
0,Adilabad,January,2020,621850,0
1,Adilabad,February,2020,29421,0
2,Adilabad,March,2020,9430,0
3,Adilabad,April,2020,0,0
4,Adilabad,May,2020,0,0
5,Adilabad,June,2020,1909,0
6,Adilabad,July,2020,549,0
7,Adilabad,August,2020,654,0
8,Adilabad,September,2020,3978,0
9,Adilabad,October,2020,15128,0
10,Adilabad,November,2020,27525,0
11,Adilabad,December,2020,61403,0
12,Bhadradri Kothagudem ,January,2020,269310,0
13,Bhadradri Kothagudem ,February,2020,238140,0
14,Bhadradri Kothagudem ,March,2020,79871,0
15,Bhadradri Kothagudem ,April,2020,0,0
16,Bhadradri Kothagudem ,May,2020,0,0
17,Bhadradri Kothagudem ,June,2020,15399,0
18,Bhadradri Kothagudem ,July,2020,15130,0
19,Bhadradri Kothagudem ,August,2020,26350,0
20,Bhadradri Kothagudem ,September,2020,30957,0
21,Bhadradri Kothagudem ,October,2020,49203,0
22,Bhadradri Kothagudem ,November,2020,76900,0
23,Bhadradri Kothagudem ,December,2020,80842,0
24,Hyderabad,January,2020,1157153,25174
25,Hyderabad,February,2020,868641,16521
26,Hyderabad,March,2020,321650,3724
27,Hyderabad,April,2020,0,0
28,Hyderabad,May,2020,0,0
29,Hyderabad,June,2020,0,0
30,Hyderabad,July,2020,0,0
31,Hyderabad,August,2020,0,0
32,Hyderabad,September,2020,21861,6
33,Hyderabad,October,2020,167510,76
34,Hyderabad,November,2020,272276,128
35,Hyderabad,December,2020,442895,230
36,Jagtial ,January,2020,340174,0
37,Jagtial ,February,2020,186484,0
38,Jagtial ,March,2020,347014,0
39,Jagtial ,April,2020,0,0
40,Jagtial ,May,2020,0,0
41,Jagtial ,June,2020,14228,0
42,Jagtial ,July,2020,41752,0
43,Jagtial ,August,2020,34496,0
44,Jagtial ,September,2020,83012,0
45,Jagtial ,October,2020,83004,0
46,Jagtial ,November,2020,154438,0
47,Jagtial ,December,2020,155757,0
48,Jangaon ,January,2020,28150,0
49,Jangaon ,February,2020,26390,0
50,Jangaon ,March,2020,21430,0
