,district,month,year,domestic_visitors,foreign_visitors
0,Adilabad,January,2017,318799,5
1,Adilabad,February,2017,83316,0
2,Adilabad,March,2017,27508,0
3,Adilabad,April,2017,13946,0
4,Adilabad,May,2017,11752,0
5,Adilabad,June,2017,26859,3
6,Adilabad,July,2017,52386,0
7,Adilabad,August,2017,34876,0
8,Adilabad,September,2017,42699,3
9,Adilabad,October,2017,41666,0
10,Adilabad,November,2017,117322,0
11,Adilabad,December,2017,54251,0
12,Bhadradri Kothagudem ,January,2017,302315,0
13,Bhadradri Kothagudem ,February,2017,251359,0
14,Bhadradri Kothagudem ,March,2017,243943,0
15,Bhadradri Kothagudem ,April,2017,667459,0
16,Bhadradri Kothagudem ,May,2017,311626,0
17,Bhadradri Kothagudem ,June,2017,351742,0
18,Bhadradri Kothagudem ,July,2017,258114,0
19,Bhadradri Kothagudem ,August,2017,316438,0
20,Bhadradri Kothagudem ,September,2017,381784,0
21,Bhadradri Kothagudem ,October,2017,334504,0
22,Bhadradri Kothagudem ,November,2017,281515,0
23,Bhadradri Kothagudem ,December,2017,393518,0
24,Hyderabad,January,2017,1924695,19286
25,Hyderabad,February,2017,1886698,18097
26,Hyderabad,March,2017,1783903,13875
27,Hyderabad,April,2017,2366793,12996
28,Hyderabad,May,2017,2266793,12983
29,Hyderabad,June,2017,2007060,12486
30,Hyderabad,July,2017,1890870,18144
31,Hyderabad,August,2017,1976980,16985
32,Hyderabad,September,2017,2011280,27856
33,Hyderabad,October,2017,2202316,26368
34,Hyderabad,November,2017,1971438,29170
35,Hyderabad,December,2017,4871416,38933
36,Jagtial ,January,2017,174477,0
37,Jagtial ,February,2017,159659,0
38,Jagtial ,March,2017,323658,0
39,Jagtial ,April,2017,330540,0
40,Jagtial ,May,2017,468038,0
41,Jagtial ,June,2017,418103,0
42,Jagtial ,July,2017,247254,0
43,Jagtial ,August,2017,386458,0
44,Jagtial ,September,2017,143102,0
45,Jagtial ,October,2017,248504,0
46,Jagtial ,November,2017,348042,0
47,Jagtial ,December,2017,393566,0
48,Jangaon ,January,2017,12280,0
49,Jangaon ,February,2017,12610,0
50,Jangaon ,March,2017,8450,0
51,Jangaon ,April,2017,9788,0
52,Jangaon ,May,2017,12130,0
53,Jangaon ,June,2017,13750,0
54,Jangaon ,July,2017,16050,0
55,Jangaon ,August,2017,15680,0
56,Jangaon ,September,2017,15600,0
57,Jangaon ,October,2017,16130,0
58,Jangaon ,November,2017,16360,0
