,district,month,year,domestic_visitors,foreign_visitors
0,Adilabad,January,2021,18203,0
1,Adilabad,February,2021,271255,0
2,Adilabad,March,2021,15907,0
3,Adilabad,April,2021,6955,0
4,Adilabad,May,2021,1191,0
5,Adilabad,June,2021,3407,0
6,Adilabad,July,2021,26885,0
7,Adilabad,August,2021,25338,0
8,Adilabad,September,2021,17672,0
9,Adilabad,October,2021,16095,0
10,Adilabad,November,2021,73753,0
11,Adilabad,December,2021,18484,0
12,Bhadradri Kothagudem,January,2021,199340,0
13,Bhadradri Kothagudem,February,2021,163761,0
14,Bhadradri Kothagudem,March,2021,83871,0
15,Bhadradri Kothagudem,April,2021,38456,0
16,Bhadradri Kothagudem,May,2021,9329,0
17,Bhadradri Kothagudem,June,2021,20090,0
18,Bhadradri Kothagudem,July,2021,63082,0
19,Bhadradri Kothagudem,August,2021,70386,0
20,Bhadradri Kothagudem,September,2021,88451,0
21,Bhadradri Kothagudem,October,2021,104063,0
22,Bhadradri Kothagudem,November,2021,84828,0
23,Bhadradri Kothagudem,December,2021,105685,0
24,Hanumakonda,January,2021,90800,0
25,Hanumakonda,February,2021,89900,0
26,Hanumakonda,March,2021,91970,80
27,Hanumakonda,April,2021,89430,5
28,Hanumakonda,May,2021,14510,0
29,Hanumakonda,June,2021,10050,0
30,Hanumakonda,July,2021,40670,0
31,Hanumakonda,August,2021,39220,3
32,Hanumakonda,September,2021,42340,5
33,Hanumakonda,October,2021,38650,5
34,Hanumakonda,November,2021,37910,8
35,Hanumakonda,December,2021,38125,6
36,"Hyderabad, Ranga Reddy, Medchal & Vikarabad",January,2021,828057,758
37,"Hyderabad, Ranga Reddy, Medchal & Vikarabad",February,2021,657955,814
38,"Hyderabad, Ranga Reddy, Medchal & Vikarabad",March,2021,589239,294
39,"Hyderabad, Ranga Reddy, Medchal & Vikarabad",April,2021,216683,90
40,"Hyderabad, Ranga Reddy, Medchal & Vikarabad",May,2021,50064,158
41,"Hyderabad, Ranga Reddy, Medchal & Vikarabad",June,2021,205368,79
42,"Hyderabad, Ranga Reddy, Medchal & Vikarabad",July,2021,384455,131
43,"Hyderabad, Ranga Reddy, Medchal & Vikarabad",August,2021,603815,169
44,"Hyderabad, Ranga Reddy, Medchal & Vikarabad",September,2021,533745,343
45,"Hyderabad, Ranga Reddy, Medchal & Vikarabad",October,2021,743442,931
46,"Hyderabad, Ranga Reddy, Medchal & Vikarabad",November,2021,938466,758
47,"Hyderabad, Ranga Reddy, Medchal & Vikarabad",December,2021,1042809,1220
48,Jagtial,January,2021,154626,0
49,Jagtial,February,2021,155602,0
50,Jagtial,March,2021,303738,0
51,Jagtial,April,2021,74401,0
52,Jagtial,May,2021,2555,0
53,Jagtial,June,2021,43196,0
54,Jagtial,July,2021,187220,0
55,Jagtial,August,2021,191483,0
56,Jagtial,September,2021,169440,0
57,Jagtial,October,2021,172570,0
58,Jagtial,November,2021,260498,0
59,Jagtial,December,2021,255232,0
60,Jangaon,January,2021,11545,0
61,Jangaon,February,2021,11440,0
