,district,month,year,domestic_visitors,foreign_visitors
0,Adilabad,January,2018,320356,0
1,Adilabad,February,2018,36550,0
2,Adilabad,March,2018,23011,0
3,Adilabad,April,2018,14183,0
4,Adilabad,May,2018,8197,0
5,Adilabad,June,2018,12052,0
6,Adilabad,July,2018,24666,2
7,Adilabad,August,2018,38939,3
8,Adilabad,September,2018,25875,0
9,Adilabad,October,2018,30257,0
10,Adilabad,November,2018,49181,0
11,Adilabad,December,2018,61476,0
12,Bhadradri Kothagudem ,January,2018,421275,0
13,Bhadradri Kothagudem ,February,2018,240634,0
14,Bhadradri Kothagudem ,March,2018,421275,0
15,Bhadradri Kothagudem ,April,2018,341258,0
16,Bhadradri Kothagudem ,May,2018,291273,0
17,Bhadradri Kothagudem ,June,2018,290512,0
18,Bhadradri Kothagudem ,July,2018,220304,0
19,Bhadradri Kothagudem ,August,2018,219548,0
20,Bhadradri Kothagudem ,September,2018,334878,0
21,Bhadradri Kothagudem ,October,2018,322974,0
22,Bhadradri Kothagudem ,November,2018,253464,0
23,Bhadradri Kothagudem ,December,2018,442483,0
24,Hyderabad,January,2018,1978396,35379
25,Hyderabad,February,2018,1365837,30414
26,Hyderabad,March,2018,1415938,27535
27,Hyderabad,April,2018,1586375,20830
28,Hyderabad,May,2018,1189492,21554
29,Hyderabad,June,2018,1595067,24677
30,Hyderabad,July,2018,1470042,17456
31,Hyderabad,August,2018,1591470,31217
32,Hyderabad,September,2018,1508086,22809
33,Hyderabad,October,2018,2207478,30072
34,Hyderabad,November,2018,1671320,23487
35,Hyderabad,December,2018,1964150,29358
36,Jagtial ,January,2018,614082,0
37,Jagtial ,February,2018,349576,0
38,Jagtial ,March,2018,416716,0
39,Jagtial ,April,2018,372874,0
40,Jagtial ,May,2018,641363,0
41,Jagtial ,June,2018,182505,0
42,Jagtial ,July,2018,182473,0
43,Jagtial ,August,2018,272685,0
44,Jagtial ,September,2018,273121,0
45,Jagtial ,October,2018,138206,0
46,Jagtial ,November,2018,277997,0
47,Jagtial ,December,2018,231323,0
48,Jangaon ,January,2018,17180,0
49,Jangaon ,February,2018,18600,0
50,Jangaon ,March,2018,17300,0
51,Jangaon ,April,2018,18100,0
52,Jangaon ,May,2018,19660,0
53,Jangaon ,June,2018,23050,0
54,Jangaon ,July,2018,26280,0
55,Jangaon ,August,2018,26020,0
56,Jangaon ,September,2018,28830,0
57,Jangaon ,October,2018,29470,0
58,Jangaon ,November,2018,29570,0
59,Jangaon ,December,2018,36962,0
60,Jayashankar Bhoopalpally,January,2018,6519850,50
61,Jayashankar Bhoopalpally,February,2018,8626250,60
62,Jayashankar Bhoopalpally,March,2018,146150,70
63,Jayashankar Bhoopalpally,April,2018,149150,45
64,Jayashankar Bhoopalpally,May,2018,152050,40
65,Jayashankar Bhoopalpally,June,2018,159400,35
66,Jayashankar Bhoopalpally,July,2018,128550,40
67,Jayashankar Bhoopalpally,August,2018,184700,35
68,Jayashankar Bhoopalpally,September,2018,192300,40
69,Jayashankar Bhoopalpally,October,2018,195400,40
70,Jayashankar Bhoopalpally,November,2018,196500,40
71,Jayashankar Bhoopalpally,December,2018,245625,44
72,Jogulamba Gadwal ,January,2018,146441,36
73,Jogulamba Gadwal ,February,2018,481110,6
74,Jogulamba Gadwal ,March,2018,155013,22
75,Jogulamba Gadwal ,April,2018,138673,15
76,Jogulamba Gadwal ,May,2018,131426,19
77,Jogulamba Gadwal ,June,2018,160182,19
