,district,month,year,domestic_visitors,foreign_visitors
0,Adilabad,January,2019,25071,0
1,Adilabad,February,2019,406177,2
2,Adilabad,March,2019,14347,0
3,Adilabad,April,2019,9972,0
4,Adilabad,May,2019,6997,0
5,Adilabad,June,2019,9161,0
6,Adilabad,July,2019,11791,0
7,Adilabad,August,2019,108173,2
8,Adilabad,September,2019,37589,0
9,Adilabad,October,2019,38184,0
10,Adilabad,November,2019,70344,2
11,Adilabad,December,2019,38089,0
12,Bhadradri Kothagudem ,January,2019,283365,0
13,Bhadradri Kothagudem ,February,2019,229159,0
14,Bhadradri Kothagudem ,March,2019,225448,0
15,Bhadradri Kothagudem ,April,2019,349585,0
16,Bhadradri Kothagudem ,May,2019,275800,0
17,Bhadradri Kothagudem ,June,2019,9761776,0
18,Bhadradri Kothagudem ,July,2019,233338,0
19,Bhadradri Kothagudem ,August,2019,271941,0
20,Bhadradri Kothagudem ,September,2019,314199,0
21,Bhadradri Kothagudem ,October,2019,287432,0
22,Bhadradri Kothagudem ,November,2019,298366,0
23,Bhadradri Kothagudem ,December,2019,287328,0
24,Hyderabad,January,2019,1426500,35920
25,Hyderabad,February,2019,983147,25621
26,Hyderabad,March,2019,1009991,21929
27,Hyderabad,April,2019,1045933,18267
28,Hyderabad,May,2019,1305748,17317
29,Hyderabad,June,2019,1262995,20077
30,Hyderabad,July,2019,1094861,27874
31,Hyderabad,August,2019,1121380,22725
32,Hyderabad,September,2019,959930,34018
33,Hyderabad,October,2019,1240643,28706
34,Hyderabad,November,2019,1073665,32762
35,Hyderabad,December,2019,1277569,34084
36,Jagtial ,January,2019,211913,0
37,Jagtial ,February,2019,215105,0
38,Jagtial ,March,2019,194090,0
39,Jagtial ,April,2019,447226,0
40,Jagtial ,May,2019,500206,0
41,Jagtial ,June,2019,235363,0
42,Jagtial ,July,2019,157419,0
43,Jagtial ,August,2019,151570,0
44,Jagtial ,September,2019,157564,0
45,Jagtial ,October,2019,165070,0
46,Jagtial ,November,2019,277630,0
47,Jagtial ,December,2019,372959,0
48,Jangaon ,January,2019,28750,0
49,Jangaon ,February,2019,28810,0
50,Jangaon ,March,2019,27300,0
51,Jangaon ,April,2019,26160,0
52,Jangaon ,May,2019,26740,0
53,Jangaon ,June,2019,25820,0
54,Jangaon ,July,2019,24160,0
55,Jangaon ,August,2019,27800,0
56,Jangaon ,September,2019,28640,0
57,Jangaon ,October,2019,27840,0
58,Jangaon ,November,2019,28410,0
59,Jangaon ,December,2019,28460,0
60,Jayashankar Bhoopalpally,January,2019,197430,45
61,Jayashankar Bhoopalpally,February,2019,33500,0
62,Jayashankar Bhoopalpally,March,2019,37500,0
63,Jayashankar Bhoopalpally,April,2019,38500,0
64,Jayashankar Bhoopalpally,May,2019,30800,0
65,Jayashankar Bhoopalpally,June,2019,40500,0
66,Jayashankar Bhoopalpally,July,2019,45500,0
67,Jayashankar Bhoopalpally,August,2019,45000,0
68,Jayashankar Bhoopalpally,September,2019,50500,0
69,Jayashankar Bhoopalpally,October,2019,46000,0
70,Jayashankar Bhoopalpally,November,2019,51500,0
71,Jayashankar Bhoopalpally,December,2019,45800,0
72,Jogulamba Gadwal ,January,2019,146441,36
73,Jogulamba Gadwal ,February,2019,481110,6
74,Jogulamba Gadwal ,March,2019,155013,22
75,Jogulamba Gadwal ,April,2019,82334,16
76,Jogulamba Gadwal ,May,2019,154609,20
77,Jogulamba Gadwal ,June,2019,155013,22
78,Jogulamba Gadwal ,July,2019,114951,37
79,Jogulamba Gadwal ,August,2019,123733,42
80,Jogulamba Gadwal ,September,2019,131485,25
81,Jogulamba Gadwal ,October,2019,152898,13
82,Jogulamba Gadwal ,November,2019,128075,45
83,Jogulamba Gadwal ,December,2019,182333,11
84,Kamareddy ,January,2019,42,0
85,Kamareddy ,February,2019,41,0
86,Kamareddy ,March,2019,45,0
87,Kamareddy ,April,2019,41,0
88,Kamareddy ,May,2019,46,0
89,Kamareddy ,June,2019,41,0
90,Kamareddy ,July,2019,50,0
91,Kamareddy ,August,2019,50,0
92,Kamareddy ,September,2019,41,0
93,Kamareddy ,October,2019,46,0
94,Kamareddy ,November,2019,46,0
95,Kamareddy ,December,2019,45,0
96,Karimnagar ,January,2019,10285,0
97,Karimnagar ,February,2019,6480,0
98,Karimnagar ,March,2019,6634,0
99,Karimnagar ,April,2019,5623,0
100,Karimnagar ,May,2019,3393,0
101,Karimnagar ,June,2019,3871,0
102,Karimnagar ,July,2019,5192,0
103,Karimnagar ,August,2019,5480,0
104,Karimnagar ,September,2019,8735,0
105,Karimnagar ,October,2019,6799,0
106,Karimnagar ,November,2019,7101,0
107,Karimnagar ,December,2019,7898,0
108,Khammam,January,2019,123550,0
109,Khammam,February,2019,98471,0
110,Khammam,March,2019,91340,0
111,Khammam,April,2019,135920,0
112,Khammam,May,2019,130971,0
113,Khammam,June,2019,127270,0
114,Khammam,July,2019,103260,0
115,Khammam,August,2019,111374,0
116,Khammam,September,2019,133754,0
117,Khammam,October,2019,128625,0
118,Khammam,November,2019,104380,0
119,Khammam,December,2019,124525,0
120,Komaram Bheem Asifabad,January,2019,2476,0
121,Komaram Bheem Asifabad,February,2019,1449,0
122,Komaram Bheem Asifabad,March,2019,1212,0
